,id,name,place_type,address,transport,accesible_category,wheelchair_accesibility_level,movement_accesibility_level,eye_accesibility_level,ear_accesibility_level,mental_accesibility_level,link,lat,lon
392,40,"ГУЗ ""Детская поликлиника № 16"" ",поликлиника,"г. Волгоград, ул. Саушинская, 6",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.523988,44.588299
393,41,"ГУЗ ""Детская поликлиника № 16"" ",поликлиника,"г. Волгоград, Б-р Энгельса, 14 ",х,дети,1,1,0,0,0,https://zhit-vmeste.ru/map/,48.516043,44.542919
394,42,ГУЗ Детская поликлиника № 3,поликлиника,"г.Волгоград, ул.им. Мясникова, 2",х,дети,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.819187,44.625604
395,43,"ГУЗ ""Клиническая больница скорой медицинской помощи № 7""",поликлиника,"г.Волгоград, ул. Казахская, 1 (поликлиника)",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.6762441,44.4565171
396,44,"ГУЗ ""Клиническая больница скорой медицинской помощи № 7""",больница,"г.Волгоград, ул. Казахская, 1 (детский корпус)",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.6762441,44.4565171
397,45,"ГУЗ ""Клиническая больница скорой медицинской помощи № 7""",больница,"г.Волгоград, ул. Казахская, 1 (взрослый корпус, приемное отделение 1 этаж)",х,"взрослые трудоспособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.6762441,44.4565171
398,46,"ГУЗ ""Клиническая больница № 11"" ",поликлиника,"г.Волгоград, ул. Краснопресненская, 11  (отделение профилактики и администрация государственного учреждения здравоохранения )",х,"взрослые трудоспособного возраста, пожилые",2,2,2,2,2,https://zhit-vmeste.ru/map/,48.6596194,44.44327759999999
399,47,"ГУЗ ""Поликлиника № 2""",поликлиника,"г.Волгоград, ул. Кузнецова, 29 а",х,"взрослые трудоспособного возраста, пожилые",2,2,2,2,2,https://zhit-vmeste.ru/map/,48.7615563,44.5535985
400,48,"ГУЗ ""Поликлиника № 30""",поликлиника,"г.Волгоград, ул. Ангарская, 114 а ",х,все возрастные категории,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.7235822,44.469423
401,49,"ГУЗ ""Поликлиника № 4""",поликлиника,"г.Волгоград, ул. Академическая, 14",х,"взрослые трудостпособного возраста, пожилые",1,1,1,1,1,https://zhit-vmeste.ru/map/,48.69685070000001,44.4960561
402,50,"ГУЗ ""Городская клиническая больница №1""",больница,"г. Волгоград, ул. им. Федотова,18 (Родильный дом)",х,Взрослые трудоспособного возраста,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.708048,44.5133034
403,51,"ГБУЗ ""Волгоградская областная клиническая больница № 3"" ",больница,"г.Волгоград, ул. Советская, 47 (стационар № 2)",х,взрослое население,2,2,2,2,2,https://zhit-vmeste.ru/map/,48.7197504,44.5349803
404,52,"ГУЗ ""Детская поликлиника № 6""",поликлиника,"г.Волгоград, ул. Рабоче-Крестьянская, 47",х,дети,1,1,1,1,1,https://zhit-vmeste.ru/map/,48.6887524,44.4865534
